gt_team,opponent,type,player,player_position,player_pass_grade,opp_lb_run_grade,opp_lb_name,opp_lb_snaps,delta_pass_vs_run
GA TECH,PITTSBURGH,vs_lb_rank_5,Brett Seither,TE,50.4,77.9,Nick Lapi,97.0,-27.5
GA TECH,PITTSBURGH,vs_defense_avg,Josh Beetham,TE,76.9,86.31,,,-9.41
GA TECH,PITTSBURGH,vs_lb_rank_1,Josh Beetham,TE,76.9,91.1,Braylan Lovelace,455.0,-14.2
GA TECH,PITTSBURGH,vs_lb_rank_2,Josh Beetham,TE,76.9,77.9,Kyle Louis,395.0,-1.0
GA TECH,PITTSBURGH,vs_lb_rank_3,Josh Beetham,TE,76.9,90.2,Rasheem Biles,388.0,-13.3
GA TECH,PITTSBURGH,vs_lb_rank_4,Josh Beetham,TE,76.9,90.5,Cameron Lindsey,106.0,-13.6
GA TECH,PITTSBURGH,vs_lb_rank_5,Josh Beetham,TE,76.9,77.9,Nick Lapi,97.0,-1.0
GA TECH,PITTSBURGH,vs_defense_avg,J.T. Byrne,TE,54.2,86.31,,,-32.11
GA TECH,PITTSBURGH,vs_lb_rank_1,J.T. Byrne,TE,54.2,91.1,Braylan Lovelace,455.0,-36.9
GA TECH,PITTSBURGH,vs_lb_rank_2,J.T. Byrne,TE,54.2,77.9,Kyle Louis,395.0,-23.7
GA TECH,PITTSBURGH,vs_lb_rank_3,J.T. Byrne,TE,54.2,90.2,Rasheem Biles,388.0,-36.0
GA TECH,PITTSBURGH,vs_lb_rank_4,J.T. Byrne,TE,54.2,90.5,Cameron Lindsey,106.0,-36.3
GA TECH,PITTSBURGH,vs_lb_rank_5,J.T. Byrne,TE,54.2,77.9,Nick Lapi,97.0,-23.7
GA TECH,SYRACUSE,vs_defense_avg,Luke Harpring,TE,70.4,68.39,,,2.01
GA TECH,SYRACUSE,vs_lb_rank_1,Luke Harpring,TE,70.4,69.4,Gary Bryant III,328.0,1.0
GA TECH,SYRACUSE,vs_lb_rank_2,Luke Harpring,TE,70.4,84.3,Antoine Deslauriers,278.0,-13.9
GA TECH,SYRACUSE,vs_lb_rank_3,Luke Harpring,TE,70.4,55.3,Anwar Sparrow,159.0,15.1
GA TECH,SYRACUSE,vs_lb_rank_4,Luke Harpring,TE,70.4,51.2,Derek McDonald,90.0,19.2
GA TECH,SYRACUSE,vs_lb_rank_5,Luke Harpring,TE,70.4,51.6,James Heard,67.0,18.8
GA TECH,SYRACUSE,vs_defense_avg,Brett Seither,TE,50.4,68.39,,,-17.99
GA TECH,SYRACUSE,vs_lb_rank_1,Brett Seither,TE,50.4,69.4,Gary Bryant III,328.0,-19.0
GA TECH,SYRACUSE,vs_lb_rank_2,Brett Seither,TE,50.4,84.3,Antoine Deslauriers,278.0,-33.9
GA TECH,SYRACUSE,vs_lb_rank_3,Brett Seither,TE,50.4,55.3,Anwar Sparrow,159.0,-4.9
GA TECH,SYRACUSE,vs_lb_rank_4,Brett Seither,TE,50.4,51.2,Derek McDonald,90.0,-0.8
GA TECH,SYRACUSE,vs_lb_rank_5,Brett Seither,TE,50.4,51.6,James Heard,67.0,-1.2
GA TECH,SYRACUSE,vs_defense_avg,Josh Beetham,TE,76.9,68.39,,,8.51
GA TECH,SYRACUSE,vs_lb_rank_1,Josh Beetham,TE,76.9,69.4,Gary Bryant III,328.0,7.5
GA TECH,SYRACUSE,vs_lb_rank_2,Josh Beetham,TE,76.9,84.3,Antoine Deslauriers,278.0,-7.4
GA TECH,SYRACUSE,vs_lb_rank_3,Josh Beetham,TE,76.9,55.3,Anwar Sparrow,159.0,21.6
GA TECH,SYRACUSE,vs_lb_rank_4,Josh Beetham,TE,76.9,51.2,Derek McDonald,90.0,25.7
GA TECH,SYRACUSE,vs_lb_rank_5,Josh Beetham,TE,76.9,51.6,James Heard,67.0,25.3
GA TECH,SYRACUSE,vs_defense_avg,J.T. Byrne,TE,54.2,68.39,,,-14.19
GA TECH,SYRACUSE,vs_lb_rank_1,J.T. Byrne,TE,54.2,69.4,Gary Bryant III,328.0,-15.2
GA TECH,SYRACUSE,vs_lb_rank_2,J.T. Byrne,TE,54.2,84.3,Antoine Deslauriers,278.0,-30.1
GA TECH,SYRACUSE,vs_lb_rank_3,J.T. Byrne,TE,54.2,55.3,Anwar Sparrow,159.0,-1.1
GA TECH,SYRACUSE,vs_lb_rank_4,J.T. Byrne,TE,54.2,51.2,Derek McDonald,90.0,3.0
GA TECH,SYRACUSE,vs_lb_rank_5,J.T. Byrne,TE,54.2,51.6,James Heard,67.0,2.6
