gt_team,opponent,type,player,player_position,player_pass_grade,opp_lb_coverage_grade,opp_lb_name,opp_lb_snaps,delta_pass_coverage
GA TECH,PITTSBURGH,vs_lb_rank_2,J.T. Byrne,TE,54.2,79.2,Kyle Louis,395.0,-25.0
GA TECH,PITTSBURGH,vs_lb_rank_3,J.T. Byrne,TE,54.2,63.6,Rasheem Biles,388.0,-9.4
GA TECH,PITTSBURGH,vs_lb_rank_4,J.T. Byrne,TE,54.2,66.8,Cameron Lindsey,106.0,-12.6
GA TECH,PITTSBURGH,vs_lb_rank_5,J.T. Byrne,TE,54.2,68.0,Nick Lapi,97.0,-13.8
GA TECH,SYRACUSE,vs_defense_avg,Luke Harpring,TE,70.4,60.39,,,10.01
GA TECH,SYRACUSE,vs_lb_rank_1,Luke Harpring,TE,70.4,52.2,Gary Bryant III,328.0,18.2
GA TECH,SYRACUSE,vs_lb_rank_2,Luke Harpring,TE,70.4,70.3,Antoine Deslauriers,278.0,0.1
GA TECH,SYRACUSE,vs_lb_rank_3,Luke Harpring,TE,70.4,66.7,Anwar Sparrow,159.0,3.7
GA TECH,SYRACUSE,vs_lb_rank_4,Luke Harpring,TE,70.4,46.8,Derek McDonald,90.0,23.6
GA TECH,SYRACUSE,vs_lb_rank_5,Luke Harpring,TE,70.4,62.7,James Heard,67.0,7.7
GA TECH,SYRACUSE,vs_defense_avg,Brett Seither,TE,50.4,60.39,,,-9.99
GA TECH,SYRACUSE,vs_lb_rank_1,Brett Seither,TE,50.4,52.2,Gary Bryant III,328.0,-1.8
GA TECH,SYRACUSE,vs_lb_rank_2,Brett Seither,TE,50.4,70.3,Antoine Deslauriers,278.0,-19.9
GA TECH,SYRACUSE,vs_lb_rank_3,Brett Seither,TE,50.4,66.7,Anwar Sparrow,159.0,-16.3
GA TECH,SYRACUSE,vs_lb_rank_4,Brett Seither,TE,50.4,46.8,Derek McDonald,90.0,3.6
GA TECH,SYRACUSE,vs_lb_rank_5,Brett Seither,TE,50.4,62.7,James Heard,67.0,-12.3
GA TECH,SYRACUSE,vs_defense_avg,Josh Beetham,TE,76.9,60.39,,,16.51
GA TECH,SYRACUSE,vs_lb_rank_1,Josh Beetham,TE,76.9,52.2,Gary Bryant III,328.0,24.7
GA TECH,SYRACUSE,vs_lb_rank_2,Josh Beetham,TE,76.9,70.3,Antoine Deslauriers,278.0,6.6
GA TECH,SYRACUSE,vs_lb_rank_3,Josh Beetham,TE,76.9,66.7,Anwar Sparrow,159.0,10.2
GA TECH,SYRACUSE,vs_lb_rank_4,Josh Beetham,TE,76.9,46.8,Derek McDonald,90.0,30.1
GA TECH,SYRACUSE,vs_lb_rank_5,Josh Beetham,TE,76.9,62.7,James Heard,67.0,14.2
GA TECH,SYRACUSE,vs_defense_avg,J.T. Byrne,TE,54.2,60.39,,,-6.19
GA TECH,SYRACUSE,vs_lb_rank_1,J.T. Byrne,TE,54.2,52.2,Gary Bryant III,328.0,2.0
GA TECH,SYRACUSE,vs_lb_rank_2,J.T. Byrne,TE,54.2,70.3,Antoine Deslauriers,278.0,-16.1
GA TECH,SYRACUSE,vs_lb_rank_3,J.T. Byrne,TE,54.2,66.7,Anwar Sparrow,159.0,-12.5
GA TECH,SYRACUSE,vs_lb_rank_4,J.T. Byrne,TE,54.2,46.8,Derek McDonald,90.0,7.4
GA TECH,SYRACUSE,vs_lb_rank_5,J.T. Byrne,TE,54.2,62.7,James Heard,67.0,-8.5
