gt_team,opponent,type,player,player_position,player_pass_grade,opp_ed_run_grade,opp_ed_name,opp_ed_snaps,delta_pass_vs_run
GA TECH,SYRACUSE,vs_ed_rank_5,Luke Harpring,TE,70.4,66.8,Chase Simmons,93.0,3.6
GA TECH,SYRACUSE,vs_defense_avg,Brett Seither,TE,50.4,65.69,,,-15.29
GA TECH,SYRACUSE,vs_ed_rank_1,Brett Seither,TE,50.4,68.4,David Reese,351.0,-18.0
GA TECH,SYRACUSE,vs_ed_rank_2,Brett Seither,TE,50.4,57.1,Denis Jaquez Jr.,277.0,-6.7
GA TECH,SYRACUSE,vs_ed_rank_3,Brett Seither,TE,50.4,71.6,David Omopariola,173.0,-21.2
GA TECH,SYRACUSE,vs_ed_rank_4,Brett Seither,TE,50.4,68.0,Jamie Tremble,129.0,-17.6
GA TECH,SYRACUSE,vs_ed_rank_5,Brett Seither,TE,50.4,66.8,Chase Simmons,93.0,-16.4
GA TECH,SYRACUSE,vs_defense_avg,Josh Beetham,TE,76.9,65.69,,,11.21
GA TECH,SYRACUSE,vs_ed_rank_1,Josh Beetham,TE,76.9,68.4,David Reese,351.0,8.5
GA TECH,SYRACUSE,vs_ed_rank_2,Josh Beetham,TE,76.9,57.1,Denis Jaquez Jr.,277.0,19.8
GA TECH,SYRACUSE,vs_ed_rank_3,Josh Beetham,TE,76.9,71.6,David Omopariola,173.0,5.3
GA TECH,SYRACUSE,vs_ed_rank_4,Josh Beetham,TE,76.9,68.0,Jamie Tremble,129.0,8.9
GA TECH,SYRACUSE,vs_ed_rank_5,Josh Beetham,TE,76.9,66.8,Chase Simmons,93.0,10.1
GA TECH,SYRACUSE,vs_defense_avg,J.T. Byrne,TE,54.2,65.69,,,-11.49
GA TECH,SYRACUSE,vs_ed_rank_1,J.T. Byrne,TE,54.2,68.4,David Reese,351.0,-14.2
GA TECH,SYRACUSE,vs_ed_rank_2,J.T. Byrne,TE,54.2,57.1,Denis Jaquez Jr.,277.0,-2.9
GA TECH,SYRACUSE,vs_ed_rank_3,J.T. Byrne,TE,54.2,71.6,David Omopariola,173.0,-17.4
GA TECH,SYRACUSE,vs_ed_rank_4,J.T. Byrne,TE,54.2,68.0,Jamie Tremble,129.0,-13.8
GA TECH,SYRACUSE,vs_ed_rank_5,J.T. Byrne,TE,54.2,66.8,Chase Simmons,93.0,-12.6
